Title,Description,URL,Sentiment,Timestamp
"Anant Ambani drives efforts towards a safer, more comfortable Maha Kumbh 2025","Reliance Industries Limited has launched 'Teerth Yatri Seva' for Maha Kumbh 2025, offering nutritious meals, medical care, secure transport, and improved...",https://m.economictimes.com/news/company/corporate-trends/anant-ambani-drives-efforts-towards-a-safer-more-comfortable-maha-kumbh-2025/amp_articleshow/117837123.cms,positive,5 hours ago
Reliance Industries Limited,Reliance serves millions at Maha Kumbh to facilitate pilgrims' progress. Abhishek Vishwakarma and 167 others. 󰤥 168. 󰤦 18. 󰤧 16. Raj Singh. सेवा परमोधर्मः।,https://m.facebook.com/100067675925751/photos/938882071710982/,neutral,9 hours ago
Reliance Industries chairman Mukesh Ambani to students: Use ChatGPT but always remember we can only ...,TECH NEWS : Mukesh Ambani advises students to master AI tools but emphasizes the importance of critical thinking. Reliance Industries plans to build the...,https://timesofindia.indiatimes.com/technology/tech-news/reliance-industries-chairman-mukesh-ambani-to-students-use-chatgpt-but-always-remember-we-can-only-/articleshow/117679569.cms,neutral,17 hours ago
Reliance serves millions at Maha Kumbh to facilitate pilgrims’ progress,"Guided by its 'We Care' philosophy, Reliance is providing the pilgrims with a wide spectrum of services – from nourishing meals and essential healthcare to...",https://www.firstpost.com/india/reliance-serves-millions-at-maha-kumbh-to-facilitate-pilgrims-progress-13858778.html,neutral,38 minutes ago
Reliance serves millions at Maha Kumbh to facilitate pilgrims' progress,"As millions of devotees converge in Prayagraj, Reliance remains committed to serving the community's needs throughout the duration of Maha Kumbh 2025.",https://www.indiatoday.in/amp/impact-feature/story/reliance-serves-millions-at-maha-kumbh-to-facilitate-pilgrims-progress-2673428-2025-02-01,neutral,4 hours ago
"Reliance Launches ‘Teerth Yatri Seva’ At Maha Kumbh To Help Pilgrims With Free Meals, Medical Aid, Transport","With millions of devotees gathering in Prayagraj for Maha Kumbh 2025, Reliance Industries Limited has launched 'Teerth Yatri Seva' to assist pilgrims during...",https://www.msn.com/en-in/news/India/reliance-launches-teerth-yatri-seva-at-maha-kumbh-to-help-pilgrims-with-free-meals-medical-aid-transport/ar-AA1yeTbZ,positive,4 hours ago
"India's richest person wants to build the world's largest data center, five times the capacity of Microsoft's biggest site","Mukesh Ambani's Reliance Group, one of India's largest and most influential conglomerates, is developing a large-scale data center in Jamnagar - a small...",https://www.techradar.com/pro/indias-richest-person-wants-to-build-the-worlds-largest-data-center-five-times-the-capacity-of-microsofts-mega-site,neutral,2 hours ago
"Anant Ambani drives efforts towards a safer, more comfortable Maha Kumbh 2025","Reliance Industries Limited has launched 'Teerth Yatri Seva' for Maha Kumbh 2025, offering nutritious meals, medical care, secure transport, and improved...",https://m.economictimes.com/news/company/corporate-trends/anant-ambani-drives-efforts-towards-a-safer-more-comfortable-maha-kumbh-2025/amp_articleshow/117837123.cms,positive,5 hours ago
Reliance Industries Limited,Reliance serves millions at Maha Kumbh to facilitate pilgrims' progress. Abhishek Vishwakarma and 167 others. 󰤥 168. 󰤦 18. 󰤧 16. Raj Singh. सेवा परमोधर्मः।,https://m.facebook.com/100067675925751/photos/938882071710982/,neutral,9 hours ago
Reliance Industries chairman Mukesh Ambani to students: Use ChatGPT but always remember we can only ...,TECH NEWS : Mukesh Ambani advises students to master AI tools but emphasizes the importance of critical thinking. Reliance Industries plans to build the...,https://timesofindia.indiatimes.com/technology/tech-news/reliance-industries-chairman-mukesh-ambani-to-students-use-chatgpt-but-always-remember-we-can-only-/articleshow/117679569.cms,neutral,17 hours ago
