Transaction ID,Stock Symbol,Transaction Type,Quantity,Price,Transaction Date
1,AMZN,Sell,815,156.1,2022-05-27
2,FB,Sell,286,577.27,2022-07-23
3,TSLA,Sell,664,544.5,2022-01-21
4,MSFT,Buy,971,498.62,2022-12-31
5,MSFT,Buy,857,484.43,2022-02-12
6,TSLA,Sell,165,290.09,2022-07-25
7,ADBE,Buy,815,758.49,2022-06-06
8,AMZN,Buy,933,67.75,2022-09-05
9,ADBE,Buy,679,796.25,2022-05-17
10,INTC,Buy,883,336.85,2022-03-12
11,AAPL,Sell,652,815.82,2022-06-22
12,MSFT,Buy,698,871.29,2022-11-15
13,AAPL,Sell,367,24.22,2022-03-10
14,TSLA,Buy,758,926.16,2022-05-01
15,MSFT,Buy,35,130.89,2022-12-22
16,NVDA,Buy,171,438.76,2022-12-28
17,FB,Buy,145,671.99,2022-05-17
18,TSLA,Buy,908,986.62,2022-10-26
19,GOOGL,Sell,403,362.18,2022-12-02
20,ADBE,Buy,670,564.9,2022-10-04
21,NVDA,Sell,311,848.21,2022-06-06
22,TSLA,Sell,429,567.32,2022-10-03
23,TSLA,Sell,198,207.57,2022-10-15
24,AMZN,Buy,636,791.14,2022-10-29
25,NVDA,Buy,625,445.43,2022-08-07
26,AAPL,Buy,51,364.73,2022-05-07
27,PYPL,Sell,106,162.24,2022-05-20
28,INTC,Buy,281,854.26,2022-07-12
29,FB,Sell,500,637.96,2022-10-08
30,NVDA,Buy,207,62.3,2022-08-28
31,FB,Buy,791,207.49,2022-12-09
32,AMZN,Sell,575,504.14,2022-01-22
33,AAPL,Sell,318,385.05,2022-05-18
34,NVDA,Sell,512,446.08,2022-08-22
35,FB,Sell,132,62.01,2022-12-28
36,FB,Sell,631,252.7,2022-09-03
37,AAPL,Buy,740,88.75,2022-09-10
38,GOOGL,Buy,323,345.52,2022-06-29
39,INTC,Sell,523,651.82,2022-07-15
40,AAPL,Sell,794,982.05,2022-05-14
41,ADBE,Buy,287,28.77,2022-03-31
42,PYPL,Sell,671,393.06,2022-08-02
43,INTC,Sell,261,989.45,2022-08-21
44,INTC,Sell,428,683.63,2022-02-25
45,PYPL,Buy,64,990.33,2022-06-04
46,AMZN,Sell,423,318.38,2022-01-27
47,TSLA,Sell,870,491.83,2022-10-01
48,NVDA,Buy,61,602.14,2022-03-18
49,GOOGL,Buy,55,127.44,2022-12-28
50,FB,Sell,944,267.06,2022-02-10
51,NVDA,Sell,426,547.6,2022-09-05
52,TSLA,Buy,503,711.67,2022-08-20
53,TSLA,Buy,879,541.19,2022-12-25
